File,MCD,LSD,SNR,Pitch RMSE,Duration Difference,CER,WER
LJ001-0001.wav,5.7496204,7.4024997,-4.363826513,157.506199,0.4089375,0,0
LJ001-0002.wav,7.185033,12.906221,-6.401943564,170.228697,0.7564375,0,0
LJ001-0003.wav,6.596545,15.960848,-3.619371951,185.2003851,0.386625,0,0
LJ001-0004.wav,4.509266,9.176259,-4.548754692,164.1514573,0.76525,0,0
LJ001-0005.wav,4.5034165,10.833361,-4.268656373,173.3468527,0.4970625,0,0
LJ001-0006.wav,4.6236234,15.112697,-3.89539957,176.4491289,1.1244375,0,0
LJ001-0007.wav,7.0787754,8.811343,-4.609457552,166.1122345,2.0375625,0,0
LJ001-0008.wav,4.9207864,10.810012,-4.004160464,144.3530456,0.4725,0,0
LJ001-0009.wav,6.3192134,8.533856,-4.304119051,172.8169459,0.721625,0,0
LJ001-0010.wav,5.281327,9.594683,-4.201992154,156.7787347,0.627125,0,0
LJ001-0011.wav,5.9404917,9.657119,-4.394827783,186.2490271,0.4961875,0,0
LJ001-0012.wav,6.269291,9.571705,-4.784835875,153.1819368,1.326625,0,0
LJ001-0013.wav,6.268478,12.767178,-4.491686225,166.3544025,0.5354375,0,0
LJ001-0014.wav,6.7412004,10.906683,-5.529859066,168.0870772,1.0173125,0,0
LJ001-0015.wav,5.687976,6.768329,-4.615743458,166.0702492,1.3389375,0,0
LJ001-0016.wav,6.4204764,11.927524,-4.348689318,172.2043722,0.4985,0,0
LJ001-0017.wav,6.0821834,12.789201,-3.539556265,189.2800183,0.6764375,0,0
LJ001-0018.wav,5.1842275,10.039843,-3.900484443,164.2193308,0.548,0,0
LJ001-0019.wav,5.23649,10.630444,-5.032852888,166.8078787,0.080125,0,0
LJ001-0020.wav,6.5264745,9.217916,-4.90018487,167.9565969,0.130375,0,0
LJ001-0021.wav,5.561526,8.595916,-4.300869107,162.8741383,0.189875,0,0
LJ001-0022.wav,5.2041855,9.391021,-4.188756347,171.4149656,0.8784375,0,0
LJ001-0023.wav,3.8186147,11.625124,-3.968940377,179.4507134,1.151625,0,0
LJ001-0024.wav,4.492835,12.944079,-5.151177049,158.5632381,0.2715,0,0
LJ001-0025.wav,6.048663,10.2461405,-5.553714037,178.4575565,2.5135625,0,0
LJ001-0026.wav,5.729227,8.305636,-3.931570947,169.8032637,1.75475,0,0
LJ001-0027.wav,6.083733,10.680845,-5.318733454,163.1093611,0.6834375,0,0
LJ001-0028.wav,4.953217,9.239455,-4.238907099,156.1308549,1.11225,0,0
LJ001-0029.wav,6.1878886,10.291858,-3.867849708,158.0657765,0.8285,0,0
LJ001-0030.wav,5.234621,12.551737,-5.766171813,129.5173241,0.1790625,0,0
LJ001-0031.wav,4.897925,13.465338,-6.338409781,167.3389297,1.3755,0,0
LJ001-0032.wav,5.557527,17.79757,-7.027298808,151.6405321,0.853625,0,0
LJ001-0033.wav,4.6180854,9.7948,-4.778252244,177.3005668,1.50425,0,0
LJ001-0034.wav,4.1143866,7.4020534,-4.53127414,143.073545,0.753875,0,0
LJ001-0035.wav,6.322006,7.706733,-5.937415957,172.9275808,0.0815,0,0
LJ001-0036.wav,4.265832,10.8554535,-4.768801928,154.369809,0.5170625,0,0
LJ001-0037.wav,4.926657,10.624731,-4.72717464,175.3759671,0.384375,0,0
LJ001-0038.wav,5.04977,12.307694,-4.385977387,169.5031581,0.2526875,0,0
LJ001-0039.wav,5.64766,9.867736,-4.991056323,172.7240218,0.2108125,0,0
LJ001-0040.wav,5.4228506,8.851564,-5.639901757,175.1524505,0.1804375,0,0
,,,,,,,
Average,5.531552645,10.64908015,-4.729216374,166.3537081,0.753065625,0,0
