File,MCD,LSD,SNR,Pitch RMSE,Duration Difference,CER,WER
train_hindimale_00649.wav,4.6115675,10.802567,-6.21427834,107.6375889,2.0969375,0,0
train_hindimale_00650.wav,5.2051196,5.7503724,-3.812518716,98.30703938,0.264291667,0,0
train_hindimale_00651.wav,5.0122623,4.917473,-3.235022128,99.58105458,0.735395833,0,0
train_hindimale_00652.wav,6.7882953,14.458361,-7.098433375,105.5774512,0.571354167,0,0
train_hindimale_00653.wav,4.230455,11.989379,-5.837823749,96.92951684,0.1929375,0,0
train_hindimale_00654.wav,5.6813745,9.915666,-5.904229879,110.9158662,0.385854167,0,0
train_hindimale_00655.wav,5.094258,5.0178394,-4.605048299,89.28772782,0.007875,0,0
train_hindimale_00656.wav,5.958219,11.381354,-5.018077493,108.1685807,0.119,0,0
train_hindimale_00657.wav,7.4129767,8.849475,-5.072912574,104.2256034,0.219625,0,0
train_hindimale_00658.wav,6.5074196,15.757122,-5.967482924,107.109982,1.701020833,0,0
train_hindimale_00659.wav,4.729066,16.528183,-6.867620349,95.01306378,0.196416667,0,0
train_hindimale_00660.wav,3.5527153,11.621821,-5.633018613,113.1848483,0.347666667,0,0
train_hindimale_00661.wav,5.5189686,19.143097,-8.17712009,106.3459315,0.567,0,0
train_hindimale_00662.wav,5.29987,5.531609,-5.283024907,105.3695239,1.0760625,0,0
train_hindimale_00663.wav,5.0108066,8.242041,-4.744532406,112.503394,0.235041667,0,0
train_hindimale_00664.wav,5.8205876,11.368237,-4.900979698,113.4126035,0.0198125,0,0
train_hindimale_00665.wav,6.405928,7.709993,-5.071886182,100.2984319,0.517770833,0,0
train_hindimale_00666.wav,7.2127705,21.767628,-8.807621598,97.6366565,1.385875,0,0
train_hindimale_00667.wav,3.9994297,5.777353,-5.157627463,94.37304337,1.0954375,0,0
train_hindimale_00668.wav,5.5854325,14.326754,-6.541306973,106.1422631,0.151583333,0,0
train_hindimale_00669.wav,5.007077,7.5133367,-4.485817254,85.9091677,0.078020833,0,0
train_hindimale_00670.wav,8.962103,16.366362,-6.037423611,134.85878,0.224270833,0,0
train_hindimale_00671.wav,4.324636,16.770535,-8.823976517,102.5024674,1.419125,0,0
train_hindimale_00672.wav,4.287216,9.0112705,-4.433069825,83.98263286,0.195520833,0,0
train_hindimale_00673.wav,3.9044282,10.928284,-6.770724654,103.2508498,0.7351875,0,0
train_hindimale_00674.wav,6.0554543,8.387312,-4.800449014,103.9928844,0.539458333,0,0
train_hindimale_00675.wav,5.702638,12.166152,-6.732052565,112.2803453,1.153166667,0,0
train_hindimale_00676.wav,5.1893206,8.344209,-7.340701818,115.509142,1.158895833,0,0
train_hindimale_00677.wav,5.0192657,7.8565745,-5.261495113,112.9826422,3.0710625,0,0
train_hindimale_00678.wav,4.43911,16.207787,-6.406521797,92.46026842,0.3815625,0,0
train_hindimale_00679.wav,4.384204,10.824601,-5.11079967,100.7074748,1.107125,0,0
train_hindimale_00680.wav,4.950694,13.078412,-5.511174798,85.41697602,0.4753125,0,0
train_hindimale_00681.wav,5.964462,13.228642,-4.984025657,112.9681791,0.316291667,0,0
train_hindimale_00682.wav,4.7902746,5.542063,-5.184651017,87.35775436,2.292645833,0,0
train_hindimale_00683.wav,5.710076,10.417269,-7.054464221,113.4363771,2.982958333,0,0
train_hindimale_00684.wav,3.934585,8.483463,-6.02227807,119.4667014,0.666541667,0,0
train_hindimale_00685.wav,5.448879,7.875673,-4.622865617,106.6410235,1.4581875,0,0
train_hindimale_00686.wav,4.544123,8.386705,-5.880608559,108.2092557,1.151875,0,0
train_hindimale_00687.wav,4.9649982,7.52547,-5.575265884,101.6246208,0.428354167,0,0
train_hindimale_00688.wav,6.040346,14.8354225,-5.965633988,107.8885277,0.062375,0,0
,,,,,,,
,,,,,,,
Average,5.331535323,10.8651467,-5.773864135,104.086656,0.794622396,0,0
