File,MCD,LSD,SNR,Pitch RMSE,Duration Difference,CER,WER
train_tamilmale_00730.wav,4.454051,14.121564,-4.932888746,106.9344369,0.685625,0,0
train_tamilmale_00731.wav,6.4965854,11.668994,-5.238468051,116.2041085,0.459395833,0,0
train_tamilmale_00732.wav,4.6123843,11.821781,-3.902483284,90.03337724,1.149104167,0,0
train_tamilmale_00733.wav,4.361415,13.935527,-5.65397799,106.6054809,1.6225625,0,0
train_tamilmale_00734.wav,4.731374,13.753104,-5.935193896,106.281009,1.516208333,0,0
train_tamilmale_00735.wav,5.283935,14.258308,-4.929771423,114.8127887,0.504895833,0,0
train_tamilmale_00736.wav,4.35289,12.924701,-4.863541722,108.3313008,0.106666667,0,0
train_tamilmale_00737.wav,5.243031,9.454569,-3.909902573,109.442423,1.032916667,0,0
train_tamilmale_00738.wav,4.9553227,6.9297466,-3.884009719,101.5952004,0.19975,0,0
train_tamilmale_00739.wav,4.2896247,7.1477256,-3.877444863,122.8534401,0.105479167,0,0
train_tamilmale_00740.wav,5.3930335,8.104073,-3.38596642,99.67762339,0.295041667,0,0
train_tamilmale_00741.wav,4.8481617,10.900578,-4.736549854,115.1647275,0.412895833,0,0
train_tamilmale_00742.wav,3.7623763,8.847848,-3.837912679,104.1602091,0.180604167,0,0
train_tamilmale_00743.wav,4.555123,8.637547,-4.393149316,105.6906988,4.372854167,0,0
train_tamilmale_00744.wav,5.064476,8.565368,-3.660363257,93.42178137,0.485666667,0,0
train_tamilmale_00745.wav,6.03022,10.861622,-3.719730973,97.59117423,0.833541667,0,0
train_tamilmale_00746.wav,3.6848652,11.462988,-4.67345804,91.05669024,0.4673125,0,0
train_tamilmale_00747.wav,6.0599756,9.486846,-4.075624645,117.7154399,2.281958333,0,0
train_tamilmale_00748.wav,5.223355,8.773476,-3.342515826,100.2131905,0.6878125,0,0
train_tamilmale_00749.wav,5.6577086,5.0684333,-3.272033036,91.22802973,0.073,0,0
train_tamilmale_00750.wav,5.2123218,5.392094,-4.744110405,105.3382589,0.8428125,0,0
train_tamilmale_00751.wav,5.4724193,11.6763525,-4.770177603,109.1779014,0.679854167,0,0
train_tamilmale_00752.wav,5.989482,17.187521,-7.033113837,104.9456437,0.712770833,0,0
train_tamilmale_00753.wav,5.6761155,14.745548,-5.619812012,120.6579173,0.9864375,0,0
train_tamilmale_00754.wav,4.8921638,8.338036,-4.597611725,94.14760557,0.564520833,0,0
train_tamilmale_00755.wav,5.776566,10.755105,-4.50879693,112.1077532,0.084458333,0,0
train_tamilmale_00756.wav,4.970655,8.894075,-4.022085667,106.7263006,0.186208333,0,0
train_tamilmale_00757.wav,4.8902197,8.4591465,-3.748491406,110.2076443,1.176041667,0,0
train_tamilmale_00758.wav,6.1049423,11.098299,-4.365364611,122.2354448,0.86675,0,0
train_tamilmale_00759.wav,4.382487,12.917536,-5.547568202,109.4257239,0.448625,0,0
train_tamilmale_00760.wav,4.798044,11.81195,-4.327921271,117.0701918,1.109875,0,0
train_tamilmale_00761.wav,4.8954206,10.593321,-3.565884233,98.189656,2.310125,0,0
train_tamilmale_00762.wav,5.4884872,8.452446,-3.423660696,94.71803767,0.854395833,0,0
train_tamilmale_00763.wav,5.2351694,7.9857597,-3.075027466,125.1716017,1.196145833,0,0
train_tamilmale_00764.wav,6.136562,9.02677,-3.938847184,108.3531441,1.6429375,0,0
train_tamilmale_00765.wav,4.4213257,7.420536,-3.817991018,95.85091575,2.315708333,0,0
train_tamilmale_00766.wav,4.758465,7.016717,-3.240318,105.2103163,0.154916667,0,0
train_tamilmale_00767.wav,5.4949985,12.358312,-4.650722146,105.966201,0.441916667,0,0
train_tamilmale_00768.wav,4.9852424,9.0194025,-3.148135841,102.4507065,0.097708333,0,0
train_tamilmale_00769.wav,4.192165,9.042587,-3.401455581,113.1417617,1.772625,0,0
,,,,,,,
,,,,,,,
Average,5.070829005,10.22290784,-4.294302054,106.5026464,0.897953125,0,0
